 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Br,  Z =  35,  atomic weight = 7.99040E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.60865E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 35
 #
 # Total elastic cross section = 2.75914E-18 cm**2 = 9.85306E-02 a0**2
 # 1st transport cross section = 1.06040E-22 cm**2 = 3.78675E-06 a0**2
 # 2nd transport cross section = 2.98267E-22 cm**2 = 1.06513E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.33355E-13  1.19043E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  3.33354E-13  1.19043E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  3.33354E-13  1.19043E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  3.33353E-13  1.19043E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  3.33352E-13  1.19042E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  3.33351E-13  1.19042E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  3.33350E-13  1.19042E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  3.33349E-13  1.19041E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  3.33348E-13  1.19041E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  3.33347E-13  1.19040E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  3.33346E-13  1.19040E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  3.33344E-13  1.19039E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  3.33342E-13  1.19039E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  3.33341E-13  1.19038E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  3.33339E-13  1.19037E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  3.33337E-13  1.19037E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  3.33335E-13  1.19036E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  3.33332E-13  1.19035E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  3.33330E-13  1.19034E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  3.33328E-13  1.19033E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  3.33325E-13  1.19033E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  3.33322E-13  1.19032E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  3.33320E-13  1.19031E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  3.33317E-13  1.19030E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  3.33314E-13  1.19029E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  3.33311E-13  1.19027E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  3.33307E-13  1.19026E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  3.33304E-13  1.19025E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  3.33301E-13  1.19024E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  3.33297E-13  1.19023E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  3.33293E-13  1.19021E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  3.33290E-13  1.19020E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  3.33286E-13  1.19018E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  3.33282E-13  1.19017E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  3.33278E-13  1.19016E+04  0.00000E+00  1.0E-05
