 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.45042E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  6
 #
 # Total elastic cross section = 2.44902E-19 cm**2 = 8.74560E-03 a0**2
 # 1st transport cross section = 3.25939E-24 cm**2 = 1.16395E-07 a0**2
 # 2nd transport cross section = 9.34414E-24 cm**2 = 3.33685E-07 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  4.16471E-14  1.48725E+03  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  4.16470E-14  1.48724E+03  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  4.16469E-14  1.48724E+03  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  4.16469E-14  1.48724E+03  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  4.16468E-14  1.48723E+03  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  4.16466E-14  1.48723E+03  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  4.16465E-14  1.48722E+03  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  4.16464E-14  1.48722E+03  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  4.16462E-14  1.48721E+03  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  4.16460E-14  1.48721E+03  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  4.16458E-14  1.48720E+03  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  4.16456E-14  1.48719E+03  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  4.16454E-14  1.48718E+03  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  4.16452E-14  1.48718E+03  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  4.16449E-14  1.48717E+03  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  4.16447E-14  1.48716E+03  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  4.16444E-14  1.48715E+03  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  4.16441E-14  1.48714E+03  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  4.16438E-14  1.48713E+03  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  4.16434E-14  1.48711E+03  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  4.16431E-14  1.48710E+03  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  4.16427E-14  1.48709E+03  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  4.16424E-14  1.48708E+03  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  4.16420E-14  1.48706E+03  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  4.16416E-14  1.48705E+03  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  4.16412E-14  1.48703E+03  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  4.16407E-14  1.48702E+03  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  4.16403E-14  1.48700E+03  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  4.16398E-14  1.48699E+03  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  4.16393E-14  1.48697E+03  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  4.16389E-14  1.48695E+03  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  4.16383E-14  1.48693E+03  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  4.16378E-14  1.48691E+03  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  4.16373E-14  1.48689E+03  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  4.16367E-14  1.48687E+03  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  4.16362E-14  1.48685E+03  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  4.16356E-14  1.48683E+03  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  4.16350E-14  1.48681E+03  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  4.16282E-14  1.48657E+03  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  4.16199E-14  1.48627E+03  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  4.16101E-14  1.48592E+03  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  4.15987E-14  1.48552E+03  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  4.15859E-14  1.48506E+03  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  4.15716E-14  1.48455E+03  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  4.15558E-14  1.48398E+03  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  4.15385E-14  1.48337E+03  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  4.15197E-14  1.48269E+03  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  4.14994E-14  1.48197E+03  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  4.14776E-14  1.48119E+03  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  4.14543E-14  1.48036E+03  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  4.14296E-14  1.47948E+03  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  4.14034E-14  1.47854E+03  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  4.13757E-14  1.47755E+03  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  4.13466E-14  1.47651E+03  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  4.13159E-14  1.47542E+03  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  4.12838E-14  1.47427E+03  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  4.12503E-14  1.47308E+03  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  4.12154E-14  1.47183E+03  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  4.11789E-14  1.47053E+03  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  4.11411E-14  1.46917E+03  0.00000E+00  1.0E-05
