 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element:  F,  Z =   9,  atomic weight = 1.89984E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.85511E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  9
 #
 # Total elastic cross section = 2.88866E-19 cm**2 = 1.03156E-02 a0**2
 # 1st transport cross section = 7.14884E-24 cm**2 = 2.55290E-07 a0**2
 # 2nd transport cross section = 2.04452E-23 cm**2 = 7.30110E-07 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.20569E-14  7.87665E+02  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  2.20568E-14  7.87664E+02  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  2.20568E-14  7.87663E+02  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  2.20568E-14  7.87662E+02  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  2.20568E-14  7.87661E+02  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  2.20567E-14  7.87660E+02  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  2.20567E-14  7.87659E+02  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  2.20567E-14  7.87658E+02  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  2.20566E-14  7.87656E+02  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  2.20566E-14  7.87655E+02  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  2.20565E-14  7.87653E+02  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  2.20565E-14  7.87651E+02  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  2.20564E-14  7.87649E+02  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  2.20564E-14  7.87647E+02  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  2.20563E-14  7.87645E+02  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  2.20562E-14  7.87642E+02  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  2.20562E-14  7.87640E+02  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  2.20561E-14  7.87637E+02  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  2.20560E-14  7.87634E+02  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  2.20559E-14  7.87632E+02  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  2.20558E-14  7.87628E+02  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  2.20558E-14  7.87625E+02  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  2.20557E-14  7.87622E+02  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  2.20556E-14  7.87618E+02  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  2.20555E-14  7.87615E+02  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  2.20554E-14  7.87611E+02  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  2.20553E-14  7.87607E+02  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  2.20551E-14  7.87603E+02  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  2.20550E-14  7.87599E+02  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  2.20549E-14  7.87595E+02  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  2.20548E-14  7.87591E+02  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  2.20547E-14  7.87586E+02  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  2.20545E-14  7.87581E+02  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  2.20544E-14  7.87577E+02  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  2.20543E-14  7.87572E+02  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  2.20541E-14  7.87567E+02  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  2.20540E-14  7.87561E+02  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  2.20538E-14  7.87556E+02  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  2.20521E-14  7.87496E+02  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  2.20501E-14  7.87422E+02  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  2.20476E-14  7.87335E+02  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  2.20448E-14  7.87234E+02  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  2.20416E-14  7.87121E+02  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  2.20381E-14  7.86994E+02  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  2.20341E-14  7.86853E+02  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  2.20298E-14  7.86700E+02  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  2.20252E-14  7.86533E+02  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  2.20201E-14  7.86353E+02  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  2.20147E-14  7.86160E+02  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  2.20089E-14  7.85953E+02  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  2.20028E-14  7.85734E+02  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  2.19963E-14  7.85501E+02  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  2.19894E-14  7.85255E+02  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  2.19821E-14  7.84996E+02  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  2.19745E-14  7.84724E+02  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  2.19665E-14  7.84438E+02  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  2.19582E-14  7.84140E+02  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  2.19494E-14  7.83829E+02  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  2.19403E-14  7.83504E+02  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  2.19309E-14  7.83166E+02  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  2.19211E-14  7.82817E+02  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  2.19109E-14  7.82453E+02  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  2.19004E-14  7.82076E+02  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  2.18895E-14  7.81687E+02  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  2.18782E-14  7.81286E+02  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  2.18666E-14  7.80870E+02  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  2.18546E-14  7.80442E+02  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  2.18423E-14  7.80003E+02  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  2.18296E-14  7.79548E+02  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  2.18165E-14  7.79082E+02  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  2.18031E-14  7.78604E+02  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  2.17894E-14  7.78113E+02  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  2.17752E-14  7.77608E+02  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  2.17608E-14  7.77092E+02  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  2.15970E-14  7.71243E+02  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  2.13993E-14  7.64184E+02  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  2.11691E-14  7.55964E+02  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  2.09081E-14  7.46641E+02  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  2.06179E-14  7.36280E+02  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  2.03006E-14  7.24949E+02  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  1.99583E-14  7.12723E+02  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  1.95930E-14  6.99678E+02  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  1.92070E-14  6.85895E+02  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  1.87848E-14  6.70817E+02  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  1.83395E-14  6.54916E+02  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  1.79110E-14  6.39615E+02  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  1.75010E-14  6.24974E+02  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  1.70063E-14  6.07306E+02  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  1.65373E-14  5.90557E+02  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  1.60950E-14  5.74763E+02  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  1.56154E-14  5.57635E+02  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  1.51233E-14  5.40064E+02  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  1.46635E-14  5.23643E+02  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  1.42151E-14  5.07629E+02  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  1.37169E-14  4.89839E+02  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  1.32539E-14  4.73306E+02  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  1.28237E-14  4.57944E+02  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  1.23543E-14  4.41180E+02  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  1.19009E-14  4.24988E+02  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  1.14806E-14  4.09981E+02  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  1.10615E-14  3.95012E+02  0.00000E+00  1.0E-05
  8.000E-02  4.87388E-07  1.06277E-14  3.79523E+02  0.00000E+00  1.0E-05
  8.250E-02  5.18325E-07  1.02262E-14  3.65183E+02  0.00000E+00  1.0E-05
  8.500E-02  5.50215E-07  9.85407E-15  3.51895E+02  0.00000E+00  1.0E-05
  8.750E-02  5.83057E-07  9.44853E-15  3.37413E+02  0.00000E+00  1.0E-05
  9.000E-02  6.16850E-07  9.07202E-15  3.23968E+02  0.00000E+00  1.0E-05
  9.250E-02  6.51596E-07  8.72313E-15  3.11509E+02  0.00000E+00  1.0E-05
  9.500E-02  6.87293E-07  8.37022E-15  2.98906E+02  0.00000E+00  1.0E-05
  9.750E-02  7.23942E-07  8.02274E-15  2.86497E+02  0.00000E+00  1.0E-05
