 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element:  I,  Z =  53,  atomic weight = 1.26904E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.37703E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 53
 #
 # Total elastic cross section = 5.79767E-18 cm**2 = 2.07039E-01 a0**2
 # 1st transport cross section = 2.49278E-22 cm**2 = 8.90190E-06 a0**2
 # 2nd transport cross section = 6.89927E-22 cm**2 = 2.46377E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.82520E-13  2.79443E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  7.82518E-13  2.79442E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  7.82516E-13  2.79442E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  7.82515E-13  2.79441E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  7.82513E-13  2.79440E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  7.82510E-13  2.79439E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  7.82508E-13  2.79439E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  7.82505E-13  2.79438E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  7.82501E-13  2.79436E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  7.82498E-13  2.79435E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  7.82494E-13  2.79434E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  7.82490E-13  2.79432E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  7.82485E-13  2.79431E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  7.82480E-13  2.79429E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  7.82475E-13  2.79427E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  7.82470E-13  2.79425E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  7.82464E-13  2.79423E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  7.82458E-13  2.79421E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  7.82452E-13  2.79419E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  7.82445E-13  2.79416E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  7.82438E-13  2.79414E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  7.82431E-13  2.79411E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  7.82423E-13  2.79408E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  7.82415E-13  2.79405E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  7.82407E-13  2.79403E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  7.82398E-13  2.79399E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  7.82389E-13  2.79396E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  7.82380E-13  2.79393E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  7.82371E-13  2.79390E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  7.82361E-13  2.79386E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  7.82351E-13  2.79382E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  7.82340E-13  2.79379E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  7.82329E-13  2.79375E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  7.82318E-13  2.79371E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  7.82307E-13  2.79367E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  7.82295E-13  2.79363E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  7.82283E-13  2.79358E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  7.82271E-13  2.79354E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  7.82130E-13  2.79304E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  7.81959E-13  2.79242E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  7.81756E-13  2.79170E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  7.81521E-13  2.79086E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  7.81256E-13  2.78992E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  7.80960E-13  2.78886E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  7.80632E-13  2.78769E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  7.80274E-13  2.78641E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  7.79885E-13  2.78502E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  7.79465E-13  2.78352E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  7.79014E-13  2.78191E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  7.78532E-13  2.78019E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  7.78020E-13  2.77836E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  7.77477E-13  2.77642E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  7.76904E-13  2.77437E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  7.76301E-13  2.77222E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  7.75667E-13  2.76996E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  7.75003E-13  2.76759E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  7.74309E-13  2.76511E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  7.73586E-13  2.76253E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  7.72833E-13  2.75984E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  7.72050E-13  2.75704E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  7.71237E-13  2.75414E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  7.70396E-13  2.75113E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  7.69525E-13  2.74802E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  7.68625E-13  2.74481E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  7.67696E-13  2.74149E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  7.66739E-13  2.73807E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  7.65753E-13  2.73455E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  7.64739E-13  2.73093E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  7.63696E-13  2.72721E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  7.62625E-13  2.72338E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  7.61527E-13  2.71946E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  7.60401E-13  2.71544E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  7.59248E-13  2.71132E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  7.58067E-13  2.70711E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  7.44807E-13  2.65975E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  7.28962E-13  2.60317E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  7.10973E-13  2.53893E+04  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  6.91117E-13  2.46802E+04  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  6.69505E-13  2.39085E+04  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  6.46460E-13  2.30855E+04  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  6.22438E-13  2.22277E+04  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  5.97756E-13  2.13463E+04  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  5.72513E-13  2.04448E+04  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  5.46867E-13  1.95290E+04  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  5.21323E-13  1.86168E+04  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  4.96089E-13  1.77157E+04  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  4.71246E-13  1.68285E+04  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  4.46712E-13  1.59524E+04  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  4.22950E-13  1.51038E+04  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  4.00048E-13  1.42860E+04  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  3.78062E-13  1.35009E+04  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  3.56742E-13  1.27395E+04  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  3.36458E-13  1.20151E+04  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  3.17212E-13  1.13278E+04  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  2.98994E-13  1.06773E+04  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  2.81620E-13  1.00568E+04  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  2.65232E-13  9.47159E+03  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  2.49830E-13  8.92158E+03  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  2.35371E-13  8.40526E+03  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  2.21732E-13  7.91820E+03  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  2.08923E-13  7.46077E+03  0.00000E+00  1.0E-05
  8.000E-02  4.87388E-07  1.96947E-13  7.03310E+03  0.00000E+00  1.0E-05
  8.250E-02  5.18325E-07  1.85753E-13  6.63335E+03  0.00000E+00  1.0E-05
