 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Total elastic cross section = 2.77957E-19 cm**2 = 9.92602E-03 a0**2
 # 1st transport cross section = 5.69685E-24 cm**2 = 2.03438E-07 a0**2
 # 2nd transport cross section = 1.63060E-23 cm**2 = 5.82300E-07 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.67542E-14  9.55411E+02  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  2.67542E-14  9.55410E+02  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  2.67542E-14  9.55409E+02  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  2.67541E-14  9.55407E+02  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  2.67541E-14  9.55406E+02  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  2.67540E-14  9.55404E+02  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  2.67540E-14  9.55403E+02  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  2.67539E-14  9.55401E+02  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  2.67539E-14  9.55399E+02  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  2.67538E-14  9.55396E+02  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  2.67537E-14  9.55394E+02  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  2.67537E-14  9.55391E+02  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  2.67536E-14  9.55388E+02  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  2.67535E-14  9.55385E+02  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  2.67534E-14  9.55381E+02  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  2.67533E-14  9.55378E+02  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  2.67532E-14  9.55374E+02  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  2.67531E-14  9.55370E+02  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  2.67530E-14  9.55366E+02  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  2.67528E-14  9.55361E+02  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  2.67527E-14  9.55357E+02  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  2.67526E-14  9.55352E+02  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  2.67524E-14  9.55347E+02  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  2.67523E-14  9.55342E+02  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  2.67521E-14  9.55336E+02  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  2.67520E-14  9.55331E+02  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  2.67518E-14  9.55325E+02  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  2.67517E-14  9.55319E+02  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  2.67515E-14  9.55313E+02  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  2.67513E-14  9.55306E+02  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  2.67511E-14  9.55300E+02  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  2.67509E-14  9.55293E+02  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  2.67507E-14  9.55286E+02  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  2.67505E-14  9.55279E+02  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  2.67503E-14  9.55271E+02  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  2.67501E-14  9.55264E+02  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  2.67499E-14  9.55256E+02  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  2.67497E-14  9.55248E+02  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  2.67471E-14  9.55157E+02  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  2.67440E-14  9.55045E+02  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  2.67403E-14  9.54914E+02  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  2.67361E-14  9.54762E+02  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  2.67313E-14  9.54591E+02  0.00000E+00  1.0E-05
